iter	Recall	Logloss
0	0.3014798773	0.6875710667
1	0.3418155568	0.6821205926
2	0.3618480419	0.6769729443
3	0.353275582	0.6725940845
4	0.3619382783	0.6684926073
5	0.3591409493	0.6646590321
6	0.3651867894	0.6613308527
7	0.3670817542	0.6581171387
8	0.3680743548	0.6553903808
9	0.3657282079	0.6525482656
10	0.3657282079	0.6501617017
11	0.3659086807	0.6477774574
12	0.3641941888	0.6457638488
13	0.3632015882	0.6437041031
14	0.3625699332	0.6420104777
15	0.3649160801	0.6402244607
16	0.3669012814	0.6389040897
17	0.3648258437	0.6375082955
18	0.3653672622	0.6361700713
19	0.3664500993	0.6347130937
20	0.3684353005	0.6335122702
21	0.367893882	0.6326417724
22	0.3682548276	0.6315811824
23	0.3677134091	0.6305425413
24	0.3704205017	0.6294007121
25	0.3731275943	0.6284632192
26	0.3735787764	0.6276138355
27	0.3744811406	0.626969518
28	0.3737592492	0.6263064979
29	0.3743909042	0.6255724091
30	0.3751127955	0.6247837561
31	0.3761053961	0.6240976837
32	0.3771882332	0.6235175761
33	0.3777296517	0.6229091163
34	0.3794441437	0.6223598064
35	0.3805269807	0.6218032325
36	0.3817902906	0.6212796741
37	0.3817000541	0.6207633478
38	0.3838657282	0.6202282375
39	0.3848583288	0.6198351267
40	0.3842266739	0.6195308872
41	0.3845876196	0.6192131327
42	0.3851290381	0.6187756173
43	0.3860314023	0.6183534178
44	0.3859411659	0.6180079148
45	0.386392348	0.6176462793
46	0.3860314023	0.6173177138
47	0.3870240029	0.6169944748
48	0.3886482584	0.6166555534
49	0.3889189677	0.6163448765
50	0.3882873128	0.6160469521
51	0.3894603862	0.6158059732
52	0.390272514	0.6156352983
53	0.3909944053	0.6153883736
54	0.3904529868	0.6150634129
55	0.3905432232	0.6147574427
56	0.3906334597	0.6145300154
57	0.3918065331	0.614286643
58	0.3918065331	0.6139985682
59	0.3923479516	0.6137689917
60	0.3944233893	0.6134777753
61	0.3950550442	0.6132710321
62	0.3951452806	0.6130338647
63	0.3957769356	0.6127921107
64	0.3962281177	0.6125690942
65	0.3966792998	0.612303628
66	0.3982133189	0.6120478494
67	0.3985742646	0.6118789891
68	0.3988449738	0.6117294414
69	0.3991156831	0.611491816
70	0.4001985201	0.6113638944
71	0.400378993	0.6111498225
72	0.4016423028	0.6108882085
73	0.4022739578	0.610682764
74	0.403176322	0.6105012838
75	0.4030860855	0.6103634375
76	0.404259159	0.6101331654
77	0.4047103411	0.6099018382
78	0.4051615232	0.6097115925
79	0.405341996	0.6095808678
80	0.4058834145	0.6093456409
81	0.4067857787	0.6091791779
82	0.4073271973	0.60906636
83	0.4071467244	0.6089625501
84	0.4083197979	0.6088194705
85	0.4085002707	0.6086644846
86	0.4084100343	0.6084992529
87	0.4090416892	0.6083183548
88	0.4092221621	0.6081248361
89	0.4097635806	0.6078691219
90	0.4097635806	0.6076630288
91	0.4102147627	0.6075585809
92	0.4112073633	0.6073316564
93	0.4123804367	0.6071603084
94	0.4127413824	0.6069719716
