iter	Passed	Remaining
0	46	46879
1	96	48154
2	133	44366
3	169	42105
4	201	40101
5	229	37989
6	262	37305
7	295	36670
8	325	35873
9	356	35340
10	387	34823
11	419	34534
12	453	34420
13	489	34450
14	522	34304
15	555	34156
16	586	33906
17	625	34111
18	658	34014
19	689	33793
20	719	33563
21	755	33592
22	787	33467
23	820	33368
24	855	33381
25	887	33240
26	923	33269
27	953	33085
28	986	33045
29	1018	32919
30	1052	32894
31	1089	32960
32	1122	32906
33	1156	32871
34	1191	32864
35	1225	32821
36	1259	32770
37	1296	32813
38	1328	32732
39	1364	32758
40	1397	32698
41	1437	32799
42	1475	32845
43	1508	32779
44	1541	32718
45	1573	32629
46	1605	32561
47	1640	32527
48	1672	32451
49	1703	32374
50	1778	33093
51	1815	33106
52	1847	33012
53	1879	32921
54	1916	32925
55	1948	32846
56	1981	32773
57	2017	32766
58	2053	32747
59	2089	32734
60	2120	32646
61	2162	32711
62	2205	32800
63	2248	32884
64	2280	32804
65	2328	32945
66	2374	33067
67	2433	33351
68	2492	33631
69	2530	33616
70	2561	33513
71	2592	33420
72	2620	33281
73	2656	33247
74	2689	33166
75	2721	33087
76	2756	33041
77	2789	32972
78	2822	32902
79	2854	32829
80	2889	32782
81	2920	32694
82	2950	32598
83	2988	32594
84	3020	32516
85	3050	32423
86	3084	32370
87	3114	32280
88	3147	32220
89	3179	32150
90	3211	32084
91	3243	32013
92	3278	31974
93	3310	31905
94	3342	31841
95	3370	31740
96	3403	31688
97	3438	31647
98	3466	31547
99	3500	31507
100	3534	31457
101	3561	31357
102	3597	31330
103	3639	31357
104	3689	31450
105	3727	31437
106	3757	31355
107	3797	31362
108	3831	31316
109	3859	31227
110	3888	31140
111	3922	31100
112	3957	31062
113	3986	30984
114	4021	30949
115	4053	30893
116	4088	30858
117	4127	30850
118	4157	30777
119	4188	30715
120	4221	30664
121	4256	30631
122	4288	30578
123	4324	30553
124	4353	30473
125	4386	30424
126	4418	30372
127	4450	30320
128	4485	30285
129	4518	30239
130	4552	30197
131	4587	30168
132	4620	30117
133	4655	30086
134	4686	30029
135	4717	29969
136	4755	29956
137	4790	29925
138	4824	29887
139	4856	29830
140	4890	29792
141	4926	29767
142	4996	29942
143	5026	29878
144	5058	29830
145	5088	29766
146	5118	29701
147	5154	29672
148	5190	29642
149	5223	29599
150	5254	29546
151	5282	29469
152	5315	29425
153	5352	29404
154	5383	29348
155	5414	29293
156	5449	29260
157	5481	29212
158	5519	29193
159	5551	29146
160	5581	29088
161	5612	29033
162	5648	29003
163	5679	28950
164	5709	28894
165	5737	28828
166	5771	28790
167	5806	28756
168	5840	28720
169	5875	28683
170	5910	28655
171	5942	28605
172	5973	28554
173	6009	28526
174	6043	28490
175	6076	28449
176	6106	28391
177	6136	28337
178	6166	28282
179	6201	28252
